Year,China,France,Germany,Italy,Japan,United Kingdom,United States,Rest of World
2000,244056619,825836599,1165538895,228318228,2311401856,1376699296,2795653762,8447331.359
2001,222134590,701117906,1116703727,187624785,2191159223,1015228769,2114408011,7326501.324
2002,254190372,774179989,1179389401,218695942,2266781275,876689598,2130185149,6848214.617
2003,305463912,942406191,1375842047,232973552,2277336226,975010607,2216648761,7034810.034
2004,469617938,1174033351,1341226767,211192599,2281748935,888697755,2284604382,7121551.871
2005,698131155,1042476533,1182342726,215333247,2218537857,782324867,2058044952,5989898.966
2006,506297444,873358216,1112810518,225778547,2116863432,763788903,2554556966,5665171.106
2007,403061671,835059430,1325884988,245921603,2199565119,715548954,2587496216,6430271.325
2008,400509898,719044959,1210760587,175200813,2100812690,735986090,2371407395,5642380.227
2009,328393712,501875456,980380101,124917934,1746086871,500473039,2223918746,4465818.886
2010,402052779,423904332,929219422,126326711,1834521654,517580060,2068544996,4727029.621
2011,780693696,451155689,1136676931,150790820,2007870004,496239616,2107267446,11925131.66
2012,781947113,288517705,1121306486,138371449,1860500152,419398268,1892346881,11437177.22
2013,808323822,185833819,1147409393,101395329,1651227133,422038237,1887569179,11178082.28
2014,777437726,95295957,1153323961,90124406,1487584189,374303626,1761856124,15696073.22
2015,736098025,68989417,1013845488,79622383,1147027356,265309287,1715701243,9926593.569
2016,662010283,58524030,1062178489,68076162,1243690798,197385686,1558064368,10341426.7
2017,528340390,100240938,919069073,54701790,1358730325,109398416,1466423430,7361588.053
2018,819540156,129316084,1130974796,50305549,1793730740,119645215,1634265493,14840147.86
