Make,Name,Start Date,End Date,Base,ISO,Process,Type,Origin,Formats
ORWO,COLOR NC16,1965,1965,?,32,ORWO 5168,Print,Germany,"135, 120, 127"
ORWO,COLOR NC17 MASK,1965,1965,?,40,ORWO 5168,Print,Germany,"135, 120, 127"
ORWO,COLOR NC19,1965,1990s,?,64,ORWO 5168,Print,Germany,"135, 120"
ORWO,COLOR NC20,1965,1990s,?,80,ORWO 5168,Print,Germany,135
ORWO,COLOR NC21,1965,1990s,?,100,ORWO 5168,Print,Germany,135
ORWO,Isopan FF /IFF,1960,1960,?,25,B&W,Print,Germany,"135, 120, 127, 620"
ORWO,Isopan/ Isopan F / IF17,1943,1960,?,40,B&W,Print,Germany,135
ORWO,Isopan SS,1935,1960,?,100,B&W,Print,Germany,"135, 120, 127, 620"
ORWO,NP10,1965,1965,?,8,B&W,Print,Germany,"135, 120"
ORWO,NP15,1965,1965,?,25,B&W,Print,Germany,?
ORWO,NP18,1965,1965,?,50,B&W,Print,Germany,"127, 120"
ORWO,NP22,1965,1965,?,125,B&W,Print,Germany,"135, 120, 127, 620"
ORWO,PAN 100,1965,1965,?,400,B&W,Print,Germany,"135, 120, 620"
ORWO,PAN 400,1965,1990s,?,400,B&W,Print,Germany,"135, 120"
ORWO,PAN 25,1965,1990s,?,25,B&W,Print,Germany,"135, 120"
ORWO,PAN 100,1965,1990s,?,100,B&W,Print,Germany,135
ORWO,PAN 125,1965,2000s,?,125,B&W,Print,Germany,135
Kodak,Kodachrome,1936,1962,T,10-16,Kodak,Slide,US,"135, 828"
Kodak,Kodachrome Professional,1938,1951,T,8-10,Kodak,Slide,US,Sheet film
Kodak,Kodachrome,1955,1962,T,12,K-11,Slide,US,"135, 828"
Kodak,Kodachrome II,1961,1974,T,25,K-12,Slide,US,"135, 828"
Kodak,Kodachrome II Professional,1962,1978,T,40,K-12,Slide,US,135
Kodak,Kodachrome X,1962,1974,T,64,K-12,Slide,US,"110, 126, 135"
Kodak,Ektachrome E200,1965,2011,T,200,E-6,Slide,US,"135, 120, 220"
Kodak,Professional Elite Chrome 100,1989,2012,T,100,E-6,Slide,US,135
Kodak,Professional Elite Chrome Extra Color 100,1991,2012,T,100,E-6,Slide,US,135
Kodak,Ektachrome 64T,1965,2012,T,64,E-6,Slide,US,"135, 120, Sheet film"
Kodak,Ektachrome 100 Plus,2001,2009,T,100,E-6,Slide,US,"135, 120, 220"
Kodak,Ektachrome E100G,2000,2012,T/P,100,E-6,Slide,US,"135, 120, 220, Sheet film"
Kodak,Ektachrome E100GX,2001,2009,T,100,E-6,Slide,US,"135, 120, 220"
Kodak,Ektachrome E100VS,2002,2012,T,100,E-6,Slide,US,"135, 120, 220, sheet film"
Kodak,Ektachrome Professional Infrared EIR Film,1965,2009,P,200,E-6,Slide,US,135-36
Kodak,Kodacolor,1942,1963,T,25/32,C-22,Print,US,"135, 120, 620, 116, 616, 127, 122"
Kodak,Kodacolor X,1963,1975,T,64/80,C-22,Print,US,"135, 120, 620, 116, 616, 126, 127, 828"
Kodak,Kodacolor II,1972,1983,T,80/100,C-41,Print,US,"110, 135, 120, 620, 116, 616, 126, 127, 828"
Kodak,Kodacolor 400,1977,1983,T,400,C-41,Print,US,"110, 135, 120"
Kodak,Kodacolor HR,1982,1983,T,200?,C-41,Print,US,Disc
Kodak,Kodacolor VR 1000,1983,1989,T,1000,C-41,Print,US,135
Kodak,Kodacolor VR 100,1982,1986,T,100,C-41,Print,US,"135, 120"
