,Continent,Country,Trade Value,Year
0,Africa,Angola,0,2000
1,Africa,Burundi,0,2000
2,Africa,Benin,757,2000
3,Africa,Burkina Faso,1142,2000
4,Africa,Botswana,437,2000
5,Africa,Central African Republic,867,2000
6,Africa,Cote d'Ivoire,1603,2000
7,Africa,Cameroon,0,2000
8,Africa,Democratic Republic of the Congo,0,2000
9,Africa,Republic of the Congo,0,2000
10,Africa,Comoros,0,2000
11,Africa,Cape Verde,95,2000
12,Africa,Djibouti,0,2000
13,Africa,Algeria,3616,2000
14,Africa,Egypt,203648,2000
15,Africa,Eritrea,0,2000
16,Africa,Ethiopia,4358,2000
17,Africa,Gabon,3407,2000
18,Africa,Ghana,988,2000
19,Africa,Guinea,13199,2000
20,Africa,Gambia,0,2000
21,Africa,Guinea-Bissau,0,2000
22,Africa,Equatorial Guinea,0,2000
23,Africa,Kenya,60689,2000
24,Africa,Liberia,0,2000
25,Africa,Libya,0,2000
26,Africa,Lesotho,2497,2000
27,Africa,Morocco,515617,2000
28,Africa,Madagascar,897,2000
29,Africa,Mali,369030,2000
30,Africa,Mozambique,4941,2000
31,Africa,Mauritania,0,2000
32,Africa,Mauritius,34498,2000
33,Africa,Malawi,0,2000
34,Africa,Mayotte,17712,2000
35,Africa,Namibia,377902,2000
36,Africa,Niger,146575,2000
37,Africa,Nigeria,7253,2000
38,Africa,Rwanda,0,2000
39,Africa,Sudan,7329,2000
40,Africa,Senegal,3185,2000
41,Africa,Saint Helena,0,2000
42,Africa,Sierra Leone,52549,2000
43,Africa,Sao Tome and Principe,0,2000
44,Africa,Eswatini,33350,2000
45,Africa,Seychelles,1732,2000
46,Africa,Chad,0,2000
47,Africa,Togo,0,2000
48,Africa,Tunisia,48502,2000
49,Africa,Tanzania,31859,2000
50,Africa,Uganda,974,2000
51,Africa,South Africa,7080312,2000
52,Africa,Zambia,1455,2000
53,Africa,Zimbabwe,18806,2000
54,Asia,Afghanistan,38520,2000
55,Asia,United Arab Emirates,18586019,2000
56,Asia,Armenia,0,2000
57,Asia,Azerbaijan,889,2000
58,Asia,Bangladesh,0,2000
59,Asia,Bahrain,71775,2000
60,Asia,Brunei,243,2000
61,Asia,Bhutan,46708,2000
62,Asia,Cocos (Keeling) Islands,0,2000
63,Asia,China,244056619,2000
64,Asia,Christmas Island,0,2000
65,Asia,Cyprus,614027,2000
66,Asia,Georgia,11324,2000
67,Asia,Hong Kong,40446393,2000
68,Asia,Indonesia,4669941,2000
69,Asia,India,16565511,2000
70,Asia,Iran,40432,2000
71,Asia,Iraq,2741,2000
72,Asia,Israel,2402510,2000
73,Asia,Jordan,147255,2000
74,Asia,Japan,2311401856,2000
75,Asia,Kazakhstan,653,2000
76,Asia,Kyrgyzstan,7372,2000
77,Asia,Cambodia,0,2000
78,Asia,South Korea,54896658,2000
79,Asia,Kuwait,106194,2000
80,Asia,Laos,0,2000
81,Asia,Lebanon,91145,2000
82,Asia,Sri Lanka,32924,2000
83,Asia,Macau,1603763,2000
84,Asia,Maldives,0,2000
85,Asia,Burma,1232,2000
86,Asia,Mongolia,2727,2000
87,Asia,Malaysia,36602891,2000
88,Asia,Nepal,1279941,2000
89,Asia,Oman,5069,2000
90,Asia,Pakistan,36318,2000
91,Asia,Philippines,630736,2000
92,Asia,North Korea,45297,2000
93,Asia,Palestine,0,2000
94,Asia,Qatar,149185,2000
95,Asia,Saudi Arabia,1041254,2000
96,Asia,Singapore,63302120,2000
97,Asia,Syria,45956,2000
98,Asia,Thailand,4986550,2000
99,Asia,Tajikistan,0,2000
100,Asia,Turkmenistan,0,2000
101,Asia,Timor-Leste,0,2000
102,Asia,Turkey,3200105,2000
103,Asia,Uzbekistan,4901,2000
104,Asia,Vietnam,3149789,2000
105,Asia,Yemen,898,2000
106,Europe,Albania,1802,2000
107,Europe,Andorra,5896,2000
108,Europe,Austria,20819722,2000
109,Europe,Belgium,996326866,2000
110,Europe,Bulgaria,10104975,2000
111,Europe,Bosnia and Herzegovina,46317,2000
112,Europe,Belarus,101272,2000
113,Europe,Switzerland,79939221,2000
114,Europe,Czechia,6268561,2000
115,Europe,Germany,1165538895,2000
116,Europe,Denmark,11609024,2000
117,Europe,Spain,96174259,2000
118,Europe,Estonia,4625748,2000
119,Europe,Finland,7883140,2000
120,Europe,France,825836599,2000
121,Europe,Faroe Islands,985,2000
122,Europe,United Kingdom,1376699296,2000
123,Europe,Gibraltar,0,2000
124,Europe,Greece,5472131,2000
125,Europe,Croatia,538084,2000
126,Europe,Hungary,6526595,2000
127,Europe,Ireland,2676147,2000
128,Europe,Iceland,214274,2000
129,Europe,Italy,228318228,2000
130,Europe,Lithuania,1019675,2000
131,Europe,Luxembourg,5244026,2000
132,Europe,Latvia,237298,2000
133,Europe,Moldova,0,2000
134,Europe,North Macedonia,85291,2000
135,Europe,Malta,229873,2000
136,Europe,Netherlands,872542765,2000
137,Europe,Norway,4482339,2000
138,Europe,Poland,1039537,2000
139,Europe,Portugal,1414986,2000
140,Europe,Romania,582244,2000
141,Europe,Russia,5618963,2000
142,Europe,Serbia and Montenegro,44543,2000
143,Europe,San Marino,0,2000
144,Europe,Slovakia,712659,2000
145,Europe,Slovenia,3684090,2000
146,Europe,Sweden,44776717,2000
147,Europe,Ukraine,973543,2000
148,North America,Aruba,0,2000
149,North America,Anguilla,0,2000
150,North America,Netherlands Antilles,501854,2000
151,North America,Antigua and Barbuda,0,2000
152,North America,Bahamas,260516,2000
153,North America,Belize,26926,2000
154,North America,Bermuda,0,2000
155,North America,Barbados,16147,2000
156,North America,Canada,188938047,2000
157,North America,Costa Rica,42174,2000
158,North America,Cuba,53920,2000
159,North America,Cayman Islands,14733,2000
160,North America,Dominica,24533,2000
161,North America,Dominican Republic,33783,2000
162,North America,Grenada,0,2000
163,North America,Greenland,11899,2000
164,North America,Guatemala,313681,2000
165,North America,Honduras,10661,2000
166,North America,Haiti,33,2000
167,North America,Jamaica,757,2000
168,North America,Saint Kitts and Nevis,0,2000
169,North America,Saint Lucia,0,2000
170,North America,Mexico,367252579,2000
171,North America,Nicaragua,21015,2000
172,North America,Panama,152863,2000
173,North America,El Salvador,14520,2000
174,North America,Saint Pierre and Miquelon,0,2000
175,North America,Turks and Caicos Islands,0,2000
176,North America,Trinidad and Tobago,277535,2000
177,North America,United States Minor Outlying Islands,0,2000
178,North America,United States,2795653762,2000
179,North America,Saint Vincent and the Grenadines,46,2000
180,North America,British Virgin Islands,0,2000
181,Oceania,American Samoa,0,2000
182,Oceania,Australia,144350597,2000
183,Oceania,Cook Islands,0,2000
184,Oceania,Fiji,38562,2000
185,Oceania,Micronesia,0,2000
